family,config,N_1,gross_bp_1,net_bp_1,netmed_bp_1,netwr_1,N_3,gross_bp_3,net_bp_3,netmed_bp_3,netwr_3,N_6,gross_bp_6,net_bp_6,netmed_bp_6,netwr_6,p_cluster,stress_bp,N_12,gross_bp_12,net_bp_12,netmed_bp_12,netwr_12,N_24,gross_bp_24,net_bp_24,netmed_bp_24,netwr_24
F1,z=3.0,7705,1.9,-10.1,-13.1,0.34,7705,1.7,-10.3,-15.2,0.385,7705,3.0,-9.0,-16.4,0.409,1.0,-13.0,7705,4.7,-7.3,-17.2,0.414,7705,0.9,-11.1,-20.0,0.432
F1,z=4.0,1208,7.1,-4.9,-12.8,0.374,1208,12.4,0.4,-12.5,0.423,1208,18.3,6.3,-15.1,0.427,0.992,2.3,1208,26.4,14.4,-14.9,0.449,1208,32.2,20.2,-13.4,0.451
F1,z=5.0,155,23.8,11.8,-14.6,0.381,155,37.8,25.8,-14.0,0.426,155,55.8,43.8,-4.7,0.471,0.471,39.8,155,87.0,75.0,-7.8,0.484,155,126.0,114.0,-12.0,0.49
F1,z=6.0,14,153.1,141.1,33.2,0.571,14,236.7,224.7,28.1,0.5,14,298.9,286.9,71.2,0.5,0.058,282.9,14,528.4,516.4,-9.2,0.5,14,670.5,658.5,204.4,0.643
F2,k=3.0,7999,6.6,-5.4,-4.1,0.465,7999,4.7,-7.3,-1.6,0.489,7999,-9.1,-21.1,1.2,0.505,0.005,-10.2,7999,5.8,-6.2,5.5,0.519,7999,-14.4,-26.4,2.4,0.507
F2,k=4.0,3251,10.8,-1.2,-2.0,0.488,3251,-2.8,-14.8,-7.6,0.461,3251,-26.8,-38.8,-3.2,0.486,0.005,-20.5,3251,-4.5,-16.5,-3.0,0.489,3251,-17.9,-29.9,-3.0,0.492
F2,k=5.0,1485,9.5,-2.5,-1.4,0.492,1485,-20.5,-32.5,-12.0,0.455,1485,-63.2,-75.2,-11.9,0.475,0.261,-39.4,1485,-23.4,-35.4,-7.1,0.481,1485,-28.6,-40.6,-19.6,0.455
F3,"N=144,zc=2.0",13445,0.8,-11.2,-13.5,0.329,13445,0.4,-11.6,-16.5,0.367,13445,2.2,-9.8,-17.8,0.392,1.0,-11.9,13445,4.1,-7.9,-17.6,0.413,13445,3.5,-8.5,-21.8,0.419
F3,"N=144,zc=3.0",3850,1.7,-10.3,-14.8,0.343,3850,1.7,-10.3,-17.5,0.391,3850,4.3,-7.7,-18.0,0.412,1.0,-6.1,3850,9.9,-2.1,-17.9,0.422,3850,8.6,-3.4,-21.2,0.432
F3,"N=288,zc=2.0",10614,1.1,-10.9,-12.4,0.335,10614,1.8,-10.2,-15.6,0.376,10614,4.0,-8.0,-16.8,0.399,1.0,-9.6,10614,6.4,-5.6,-16.6,0.42,10614,7.2,-4.8,-21.4,0.424
F3,"N=288,zc=3.0",3200,1.7,-10.3,-14.5,0.344,3200,2.2,-9.8,-17.2,0.394,3200,6.6,-5.4,-17.5,0.42,1.0,-2.2,3200,13.8,1.8,-17.2,0.427,3200,13.1,1.1,-21.4,0.432
