variant,side,thresh,sig_per_sym_month,N_4,edge_voln_4,edge_bp_4,wr_edge_4,N_12,edge_voln_12,edge_bp_12,wr_edge_12,N_24,edge_voln_24,edge_bp_24,wr_edge_24,p24,med_bp_24,q10_24,q90_24,N_48,edge_voln_48,edge_bp_48,wr_edge_48,N_72,edge_voln_72,edge_bp_72,wr_edge_72
div,bear,70.0,2.92,1576,-0.0565,-4.6,0.0259,1576,-0.1623,-30.2,-0.0116,1576,-0.1309,-35.4,0.0049,1.0,10.5,-635.0,519.0,1576,-0.1268,-66.1,-0.0036,1576,-0.0665,-41.6,-0.0161
div,bear,72.5,1.76,950,-0.0644,-4.5,0.038,950,-0.1967,-34.7,-0.0122,950,-0.1754,-44.4,-0.0166,1.0,-7.6,-652.0,519.0,950,-0.1768,-77.1,-0.0055,950,-0.1321,-70.5,-0.0319
div,bear,75.0,1.02,550,-0.0737,-3.2,0.0362,550,-0.231,-35.8,-0.0259,550,-0.1757,-31.7,-0.0214,1.0,-10.6,-645.0,570.0,550,-0.2471,-91.7,-0.0106,550,-0.189,-82.3,-0.0202
div,bear,77.5,0.58,315,0.0439,12.2,0.0362,315,-0.2075,-34.8,-0.0324,315,-0.2186,-49.1,-0.0433,1.0,-46.5,-699.0,579.0,315,-0.2715,-107.5,-0.0116,315,-0.227,-112.2,-0.046
div,bear,80.0,0.27,145,0.1534,42.7,0.0749,145,-0.1142,8.9,0.0064,145,-0.2035,-44.9,-0.0049,0.994,1.1,-714.0,606.0,145,-0.3592,-140.4,-0.0401,145,-0.3081,-133.6,-0.0362
div,bear,82.5,0.13,68,0.0372,23.2,-0.0208,68,-0.3543,-55.5,-0.0942,68,-0.559,-182.9,-0.0983,1.0,-93.9,-756.0,519.0,68,-0.765,-373.1,-0.1294,68,-0.5996,-361.2,-0.1033
div,bear,85.0,0.04,21,-0.5368,-96.3,-0.1288,21,-0.7391,-178.2,-0.2741,21,-0.8445,-289.7,-0.3734,1.0,-340.3,-758.0,25.0,21,-1.5306,-843.9,-0.3778,21,-0.8807,-523.0,-0.0476
div,bear,87.5,0.01,4,-1.3142,-253.5,-0.5047,4,-0.9948,-238.6,-0.2531,4,-0.476,-128.0,-0.2592,0.846,-160.9,-478.0,254.0,4,-0.5774,-187.1,-0.0046,4,0.0045,257.3,0.2443
div,bear,90.0,0.0,1,1.8136,495.2,0.497,1,1.5566,737.3,0.4935,1,0.5112,346.0,0.4794,0.32,348.8,349.0,349.0,1,1.1719,1115.4,0.4718,1,1.5243,1769.3,0.4734
div,bull,10.0,0.0,0,,,,0,,,,0,,,,,,,,0,,,,0,,,
div,bull,12.5,0.0,0,,,,0,,,,0,,,,,,,,0,,,,0,,,
