persistence,thresh_pct,sig_per_sym_month,N_4,edge_voln_4,edge_bp_4,wr_edge_4,N_8,edge_voln_8,edge_bp_8,wr_edge_8,p8,N_12,edge_voln_12,edge_bp_12,wr_edge_12,N_24,edge_voln_24,edge_bp_24,wr_edge_24,p24,med_bp_24,q10_24,q90_24,N_48,edge_voln_48,edge_bp_48,wr_edge_48,N_72,edge_voln_72,edge_bp_72,wr_edge_72,p72
1,-0.005,6.13,3308,0.0241,1.9,0.0283,3308,0.0147,4.1,0.0072,0.226,3308,0.0351,11.4,0.0339,3308,0.0203,11.2,0.0183,0.142,8.7,-544.0,547.0,3308,0.0317,25.1,0.0223,3308,0.0379,31.7,0.0206,0.026
1,-0.01,4.19,2265,0.0406,6.5,0.0334,2265,0.0344,15.2,0.0147,0.062,2265,0.0472,21.3,0.0336,2265,0.0137,8.4,0.0112,0.29,0.0,-545.0,549.0,2265,0.0592,46.2,0.0097,2265,0.0622,51.4,0.0291,0.0
1,-0.015,2.93,1582,0.0291,7.0,0.0173,1582,0.0382,18.9,0.0122,0.062,1582,0.0608,27.0,0.0288,1582,0.0528,30.5,0.0303,0.042,15.8,-557.0,561.0,1582,0.0888,65.5,0.0186,1582,0.0793,65.1,0.0299,0.0
1,-0.02,2.09,1131,0.0141,2.3,0.002,1131,0.0369,16.9,-0.0004,0.118,1131,0.0561,24.2,0.0215,1131,0.039,20.4,0.0176,0.126,3.4,-569.0,536.0,1131,0.0887,62.0,0.0283,1131,0.0774,57.2,0.0291,0.016
1,-0.03,1.15,620,-0.013,4.6,0.0089,620,0.0485,27.1,0.0189,0.136,620,0.0726,33.5,0.0388,620,0.0473,14.0,0.0086,0.116,-6.8,-593.0,608.0,620,0.1364,93.5,0.0398,620,0.1313,106.7,0.0252,0.004
1,-0.04,0.67,360,0.1097,30.8,0.0442,360,0.2183,81.5,0.0678,0.0,360,0.2149,90.7,0.0903,360,0.099,53.7,0.0111,0.048,-4.7,-624.0,785.0,360,0.1753,144.5,0.0679,360,0.1987,186.5,0.0395,0.0
1,-0.05,0.37,198,0.1316,40.2,0.0777,198,0.1452,68.2,0.0571,0.024,198,0.1373,69.7,0.1029,198,0.0601,54.6,0.0239,0.232,7.0,-687.0,740.0,198,0.1512,178.5,0.0352,198,0.2764,287.6,0.047,0.0
1,-0.075,0.16,84,0.1385,48.6,0.0906,84,0.0911,61.9,0.0593,0.218,84,0.0721,54.3,0.1194,84,0.0887,85.5,0.0427,0.216,47.1,-727.0,729.0,84,0.2769,331.0,0.1339,84,0.3472,463.5,0.1356,0.004
1,-0.1,0.09,46,0.17,59.5,0.0101,46,0.0613,48.5,0.0583,0.342,46,0.0652,41.5,0.0373,46,0.1758,145.7,0.068,0.164,86.4,-641.0,711.0,46,0.3958,348.3,0.1434,46,0.4227,435.5,0.1456,0.008
2,-0.005,2.95,1591,0.0549,6.1,0.0472,1591,0.0523,12.7,0.0335,0.016,1591,0.0509,17.6,0.0363,1591,0.0186,11.6,0.0176,0.23,3.4,-574.0,528.0,1591,0.0642,57.2,0.0417,1591,0.0516,45.4,0.0283,0.026
2,-0.01,1.88,1017,0.0754,12.6,0.0632,1017,0.0609,16.5,0.0354,0.03,1017,0.0597,19.5,0.0186,1017,0.0358,13.5,0.0254,0.142,12.4,-598.0,520.0,1017,0.1172,74.2,0.0751,1017,0.1103,74.6,0.0404,0.0
2,-0.015,1.27,685,0.0566,10.9,0.0482,685,0.0483,19.3,0.0354,0.116,685,0.0492,25.1,0.0275,685,0.0274,25.1,0.0168,0.25,2.7,-569.0,559.0,685,0.0932,73.4,0.0611,685,0.0997,85.4,0.0265,0.01
2,-0.02,0.87,470,0.0318,8.0,0.0399,470,0.0217,19.0,0.016,0.32,470,0.0565,33.5,0.0296,470,0.1024,50.6,0.0219,0.02,7.0,-564.0,670.0,470,0.1509,101.0,0.0533,470,0.1827,144.2,0.0481,0.0
2,-0.03,0.42,228,0.0709,16.7,0.0593,228,0.0531,23.5,0.0465,0.226,228,0.0733,23.6,0.0251,228,0.1209,38.6,-0.0028,0.052,-18.7,-724.0,673.0,228,0.1882,125.2,0.0416,228,0.287,215.9,0.0742,0.0
2,-0.04,0.21,115,0.2108,49.8,0.0911,115,0.098,41.0,0.0356,0.168,115,0.0583,31.0,0.0185,115,0.1592,86.7,-0.0003,0.038,-11.4,-860.0,871.0,115,0.1989,168.8,0.0417,115,0.359,312.5,0.0526,0.0
2,-0.05,0.13,71,0.0486,16.1,0.0872,71,0.0765,51.9,0.0357,0.272,71,0.0515,54.5,0.0646,71,0.126,109.2,0.0586,0.17,29.9,-698.0,902.0,71,0.3029,295.3,0.124,71,0.5083,528.0,0.0982,0.0
2,-0.075,0.06,35,0.3322,71.8,0.1396,35,0.3775,144.3,0.1149,0.018,35,0.4259,202.9,0.1732,35,0.2991,199.5,0.0088,0.062,0.0,-849.0,1296.0,35,0.4327,382.2,0.1357,35,0.5088,532.3,0.1375,0.012
2,-0.1,0.04,22,-0.0997,-47.5,-0.034,22,0.3535,164.5,0.0156,0.068,22,0.3794,221.0,0.1528,22,0.4774,341.3,0.0701,0.028,159.6,-559.0,1409.0,22,0.4274,369.5,0.082,22,0.3731,335.2,0.0846,0.072
