direction,log,window,z,sig_per_sym_month,N_1,edge_voln_1,edge_bp_1,wr_edge_1,N_2,edge_voln_2,edge_bp_2,wr_edge_2,N_4,edge_voln_4,edge_bp_4,wr_edge_4,p4,N_12,edge_voln_12,edge_bp_12,wr_edge_12,N_24,edge_voln_24,edge_bp_24,wr_edge_24,p24,N_48,edge_voln_48,edge_bp_48,wr_edge_48
bar,False,168,2.0,14.96,8077,0.0147,1.3,-0.0402,8077,0.0021,0.7,-0.0238,8077,0.0185,3.6,-0.0166,0.068,8077,0.0426,4.9,-0.0208,8077,0.0238,-2.5,-0.0224,0.018,8077,0.0179,-1.1,-0.017
bar,False,168,2.5,12.05,6508,0.0327,3.2,-0.0377,6508,0.0176,2.6,-0.0216,6508,0.0261,5.7,-0.0163,0.022,6508,0.086,17.3,-0.0087,6508,0.0492,8.2,-0.0143,0.0,6508,0.0329,2.2,-0.0158
bar,False,168,3.0,9.74,5262,0.0522,5.7,-0.0333,5262,0.0236,4.1,-0.0227,5262,0.0484,10.1,-0.0068,0.002,5262,0.1081,24.0,-0.0021,5262,0.0688,18.8,-0.0049,0.0,5262,0.0382,6.5,-0.0093
bar,False,168,3.5,7.9,4265,0.0714,7.6,-0.0307,4265,0.0526,8.1,-0.0156,4265,0.0999,19.1,0.015,0.0,4265,0.1634,38.7,0.0128,4265,0.1123,33.2,0.0094,0.0,4265,0.0472,7.8,-0.0072
bar,False,168,4.0,6.39,3452,0.0998,9.4,-0.0278,3452,0.0791,11.0,-0.012,3452,0.1236,22.1,0.0244,0.0,3452,0.1967,43.3,0.0162,3452,0.1471,39.7,0.0121,0.0,3452,0.0631,5.1,-0.0075
bar,False,168,5.0,4.23,2285,0.0426,7.3,-0.0386,2285,0.0808,18.1,-0.0087,2285,0.1207,27.1,0.0327,0.0,2285,0.1952,48.6,0.0206,2285,0.1536,44.4,0.0181,0.0,2285,0.044,-6.2,-0.0024
bar,False,720,2.0,11.68,6307,0.0115,1.4,-0.0419,6307,0.0183,2.7,-0.0197,6307,0.0255,4.2,-0.0137,0.026,6307,0.086,19.8,-0.0059,6307,0.0558,14.0,-0.0092,0.0,6307,0.0345,14.0,-0.009
bar,False,720,2.5,9.12,4926,0.0335,4.9,-0.0333,4926,0.0396,6.0,-0.0141,4926,0.0777,15.2,0.0026,0.0,4926,0.1339,33.9,0.0087,4926,0.0835,25.7,0.0005,0.0,4926,0.0394,16.9,-0.0075
bar,False,720,3.0,7.19,3881,0.0201,4.3,-0.0401,3881,0.0357,4.6,-0.0218,3881,0.1028,18.8,0.0122,0.0,3881,0.1356,32.4,0.007,3881,0.0856,27.5,0.005,0.0,3881,0.0343,13.2,-0.0092
bar,False,720,3.5,5.66,3059,0.0479,7.2,-0.0351,3059,0.0462,7.6,-0.023,3059,0.1284,26.6,0.0162,0.0,3059,0.1576,39.6,0.0135,3059,0.0856,24.1,0.0055,0.0,3059,0.0195,1.4,-0.013
bar,False,720,4.0,4.53,2448,0.046,7.2,-0.0383,2448,0.0516,7.0,-0.0266,2448,0.1386,28.2,0.0257,0.0,2448,0.1954,51.3,0.0039,2448,0.1163,37.2,0.0116,0.0,2448,0.0382,10.0,-0.0148
bar,False,720,5.0,3.04,1642,0.1344,18.5,-0.0322,1642,0.1343,19.5,-0.0155,1642,0.2064,44.3,0.0358,0.0,1642,0.1994,52.7,0.0044,1642,0.1028,27.6,0.0026,0.0,1642,0.0448,4.4,-0.0161
bar,True,168,2.0,12.82,6922,0.0295,2.4,-0.0403,6922,0.0283,4.4,-0.0173,6922,0.0347,7.7,-0.0099,0.0,6922,0.0912,19.7,-0.0085,6922,0.0653,16.1,-0.0097,0.0,6922,0.0368,6.2,-0.01
bar,True,168,2.5,7.09,3830,0.0995,9.9,-0.0274,3830,0.0606,9.7,-0.0135,3830,0.0966,18.5,0.0099,0.0,3830,0.1668,38.9,0.0142,3830,0.1165,33.1,0.0108,0.0,3830,0.0426,0.0,-0.0083
bar,True,168,3.0,3.42,1849,0.0701,11.5,-0.0365,1849,0.0688,18.0,-0.0197,1849,0.1323,30.4,0.033,0.0,1849,0.2602,69.9,0.0397,1849,0.2239,69.7,0.0349,0.0,1849,0.0998,22.9,-0.001
bar,True,168,3.5,1.5,808,0.025,8.8,-0.0468,808,0.1444,27.5,-0.0085,808,0.189,36.2,0.0475,0.0,808,0.2695,70.5,0.0528,808,0.2125,59.7,0.0129,0.0,808,0.0385,-24.9,-0.0231
bar,True,168,4.0,0.6,324,-0.0231,-1.1,-0.0477,324,0.2464,32.5,0.0092,324,0.2096,27.1,0.0249,0.0,324,0.1198,-8.8,0.0531,324,0.1538,28.9,0.0144,0.002,324,-0.0462,-101.3,-0.0397
bar,True,168,5.0,0.06,33,0.0653,5.1,-0.0203,33,-0.3479,-116.1,-0.1102,33,-0.1267,-63.5,-0.1405,0.772,33,-0.5524,-402.8,-0.2615,33,-0.0708,-144.3,-0.1119,0.6,33,-0.4718,-681.6,-0.2953
bar_up,False,168,2.0,7.34,3963,0.0478,4.6,-0.024,3963,0.0282,5.0,-0.0159,3963,0.0686,14.1,0.0003,0.0,3963,0.0939,26.0,0.0089,3963,0.0867,30.2,0.0012,0.0,3963,0.1022,61.7,0.0135
bar_up,False,168,2.5,5.87,3168,0.0996,10.3,-0.0145,3168,0.0671,10.8,-0.0052,3168,0.0889,19.2,-0.0017,0.0,3168,0.1413,40.9,0.0245,3168,0.1191,44.2,0.0095,0.0,3168,0.1241,70.5,0.0176
bar_up,False,168,3.0,4.64,2503,0.1099,12.9,-0.0178,2503,0.083,14.9,-0.0014,2503,0.1144,25.1,0.0146,0.0,2503,0.1552,46.2,0.0284,2503,0.1377,58.5,0.0204,0.0,2503,0.1301,78.2,0.0287
bar_up,False,168,3.5,3.67,1980,0.1327,15.8,-0.0121,1980,0.121,19.9,0.0052,1980,0.1668,34.8,0.0333,0.0,1980,0.2173,63.6,0.0436,1980,0.1819,73.7,0.0246,0.0,1980,0.133,77.0,0.0241
bar_up,False,168,4.0,2.9,1568,0.1472,16.4,-0.0049,1568,0.1286,18.6,0.009,1568,0.1691,30.7,0.0397,0.0,1568,0.2375,59.1,0.0492,1568,0.2186,75.7,0.0272,0.0,1568,0.1495,69.3,0.0215
bar_up,False,168,5.0,1.86,1002,0.1552,20.1,-0.0012,1002,0.1659,26.2,0.0139,1002,0.1998,37.8,0.0627,0.0,1002,0.2163,59.6,0.0519,1002,0.2028,71.3,0.023,0.0,1002,0.1155,47.9,0.0289
bar_down,False,168,2.0,7.62,4114,-0.0172,-2.0,-0.0558,4114,-0.0232,-3.4,-0.0314,4114,-0.0299,-6.5,-0.0328,0.974,4114,-0.0069,-15.4,-0.0495,4114,-0.0371,-34.1,-0.045,0.982,4114,-0.0636,-61.5,-0.0464
bar_down,False,168,2.5,6.19,3340,-0.0311,-3.5,-0.0597,3340,-0.0296,-5.2,-0.0371,3340,-0.0337,-7.2,-0.0302,0.972,3340,0.0332,-5.1,-0.0403,3340,-0.0174,-25.9,-0.0369,0.808,3340,-0.0539,-62.5,-0.0475
